Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7263681592039801,0.4909090909090909,0.7941176470588235,0.6067415730337079,0.8353130128228357
Random Forest,0.7540867093105899,0.5261194029850746,0.7540106951871658,0.6197802197802198,0.8323635535354685
Decision Tree,0.7192608386638237,0.48303715670436187,0.7994652406417112,0.6022155085599195,0.8104244425923146
SVM,0.7903340440653873,0.598014888337469,0.6443850267379679,0.6203346203346203,0.8133014272328662
KNN,0.7697228144989339,0.5668449197860963,0.5668449197860963,0.5668449197860963,0.7952914774992106
XGBoost,0.7810945273631841,0.6,0.5294117647058824,0.5625,0.8260893198254396
