Model,CV Accuracy (mean),CV Accuracy (std),CV ROC-AUC (mean),CV ROC-AUC (std)
Logistic Regression,0.7516444444444444,0.005015728348325657,0.8459279114400708,0.0054135220699368805
Random Forest,0.768711111111111,0.0059601971961743,0.8450136451610291,0.005537359531353647
Decision Tree,0.7155555555555555,0.009688481133111973,0.8004753536809541,0.015468917750709056
SVM,0.7941333333333332,0.0074071703665776496,0.8277956384072818,0.006376099261008842
KNN,0.7735111111111111,0.005960197196174282,0.8010729874399735,0.008868203764344527
XGBoost,0.7964444444444444,0.0062853936105471105,0.8411946196765652,0.004721536876209621
